Name of Park,Place ID,,,,,
Alexandra Park,ChIJpZxXBTYIYUgRO4Iyx_UBYNI,,,,,
Barnett Demesne,ChIJj7aMhawIYUgRfTqXz1n5zv4,,,,,
Belfast Castle Estate,ChIJ01LlVjAIYUgRVyqYKNXUAWs,,,,,
Belfast City Hall grounds,ChIJnfvaK1YIYUgR1-cYbCR-SMo,,,,,
Belmont Park,Eh1CZWxtb250IFBhcmssIEJlbGZhc3QgQlQ0LCBVSyIuKiwKFAoSCR3yjGV_CWFIEVtemdx1Rw_hEhQKEgmpkcdCETtaAhF6JYgyQ6D4xA,,,,,
Botanic Gardens,ChIJFQigQOUIYUgRny-6IzQNuvw,,,,,
Bridges Urban Sports Park,ChIJK5CeBFMIYUgRPxa2B3L87jk,,,,,
Cave Hill Country Park,ChIJKyPh2PcIYUgRR4rg__AL6g4,,,,,
Clarawood Millennium Park,ChIJmUC2pmQJYUgRAErLxSw-foc,,,,,
Clement Wilson Park,ChIJUzbbPbIIYUgRHW7HEa58qLU,,,,,
Dr Pitt Memorial Park,ChIJLfFyzacJYUgRQtuMKOlKxkE,,,,,
Drumglass Park,ChIJUcVttZcIYUgRPJ_swAFB2P8,,,,,
Dunville Park,ChIJsc2eyGEIYUgR1ES71DWtEIM,,,,,
Falls Park,ChIJ_YusXCgGYUgRH4g5_64IGX8,,,,,
Gilnahirk Park,Eh9HaWxuYWhpcmsgUGFyaywgQmVsZmFzdCBCVDUsIFVLIi4qLAoUChIJdQC-fdsLYUgR0mq80V2q354SFAoSCamRx0IRO1oCEXoliDJDoPjE,,,,,
Glenbank Park,ChIJJa9tqQkIYUgRXgFthRZM9z8,,,,,
Greenville Park,ChIJ8YCECG4JYUgROc8Ub3nAeig,,,,,
King William Park,ChIJ0VQYAvEIYUgRReLNUJ06JbQ,,,,,
Lagan Meadows,ChIJl2VpwcgIYUgRnTKo6eV9Nis,,,,,
Lenadoon Millennium Park,ChIJN20McEIGYUgRHpso3Ada2P,,,,,
Ligoniel Park,ChIJ_W25bQcIYUgRVLQ6MXvrRUo,,,,,
Loughside Park,ChIJRctPLtQJYUgRdJ3LeNTDpBQ,,,,,
Marrowbone Millennium Park,ChIJQ5B7AkAIYUgRgnHd0HQZBso,,,,,
Musgrave Park,ChIJBWFxzx8GYUgR-unLqSfIQiA,,,,,
Orangefield Park,ChIJcerfhqwJYUgRV3o-BstUxuc,,,,,
Ormeau Park,ChIJKffORx0JYUgRkLicVXh29VE,,,,,
Sir Thomas and Lady Dixon Park,ChIJCTmLzuUFYUgRifEcGOtrvLA,,,,,
Tullycarnet Park,ChIJf_DvqMYLYUgRv378K3xRaEE,,,,,
Victoria Park,ChIJiYVbipkJYUgRL2dx_s4U71o,,,,,
Woodvale Park,ChIJbxn3028IYUgRAr0o9TZPgfI,,,,,
